EmployeeID,Name,Age,YearsExperience,Salary
1,Carol Johnson,59,5,55860
2,Ashley Hale,36,22,87637
3,Maurice Johnson MD,37,17,111279
4,Suzanne Mccarthy,37,15,129564
5,Karen Mcneil,45,7,116223
6,Timothy Adams,28,32,135085
7,Cody Chang,38,27,100540
8,Amanda Gonzalez,57,23,91485
9,Kelly Brown,22,13,88067
10,Alicia Sanders,55,15,80099
11,Ms. Kimberly Delgado,54,35,117498
12,George Turner,24,32,101417
13,Joseph Green Jr.,39,17,65028
14,Gabriel Figueroa,27,10,140772
15,Catherine Adams,28,35,113496
16,Melissa Payne,54,29,124140
17,Misty Maxwell,28,34,70570
18,Michael Noble,27,8,63021
19,Lauren Durham,51,19,114896
20,Richard Allen,59,15,102932
21,Andrew Jordan,51,7,116422
22,Kevin Walker,38,39,57280
23,Eric Quinn,38,6,72247
24,Eric Wilson,28,33,146823
25,Brian Schultz,29,3,79028
26,Taylor Abbott,51,20,39337
27,Adam Martinez,29,26,108516
28,Dr. Tanner Clarke,35,37,96439
29,Stephanie Garcia,51,33,75207
30,Daniel Hansen,45,13,110843
31,John Mcdaniel,31,8,147356
32,Heather Nguyen,38,3,53938
33,Jessica Mcknight,29,17,93853
34,Cynthia Murray,25,23,43591
35,Andrew Blair,45,12,121135
36,Joshua Chang,49,33,74046
37,Tracie Rush,53,11,110610
38,Troy Anderson,46,19,94742
39,Jennifer Bishop,51,5,73367
40,Megan Chapman DDS,26,36,69046
41,Vanessa Lee,35,35,43088
42,Dr. Howard Brown,42,18,149151
43,Hunter Ferguson,54,8,142406
44,Amanda Richard,44,27,123580
45,Joyce Wilson,35,28,63595
46,Jack Wilson,25,31,55160
47,Matthew Gay,59,29,51440
48,Terry Brown,24,12,49736
49,Scott Hays,53,13,53631
50,Zachary Steele,42,1,101144
51,Mr. Paul Smith,54,22,91575
52,Danny Palmer,30,36,109243
53,Nathan Wise,29,8,49958
54,Caitlyn Smith,26,24,125426
55,Todd Romero,44,20,30057
56,Daniel Willis,37,18,101620
57,Brandon Fernandez,38,32,88382
58,Linda Atkins DDS,59,18,55195
59,Christina Jones,44,15,36214
60,Michele Cordova,46,37,109705
61,Joshua Morris,24,16,39424
62,David Thomas,53,10,75263
63,Jack Powers,28,29,46217
64,Theresa Conner,27,16,46286
65,Madison Weaver,25,4,37538
66,Mrs. Erica Smith,28,4,44690
67,Brenda Moore,59,33,82629
68,Jason Barrera,45,37,117270
69,Connie Jones,49,29,67403
70,Lawrence Kemp,28,21,111095
71,Steven Stevenson,53,18,92061
72,Marc Hicks,41,27,115441
73,Michael Wheeler,37,14,39484
74,Michael Reese,56,5,51086
75,Tina Harris,25,20,122540
76,Stacy Dixon,35,2,42719
77,Andre Moreno,32,5,60416
78,Hannah Chavez,24,15,95367
79,Joseph Jenkins,27,39,50701
80,Jennifer Gillespie,39,24,78466
81,Tina Phillips,31,21,50125
82,Heidi Williams,34,19,121071
83,Darrell Estes,57,35,58112
84,Michael Bowers,48,31,41234
85,Michael Dean,28,27,144497
86,Emily Miller PhD,52,38,76394
87,Chelsea Fisher,41,5,30338
88,Crystal Parker,37,6,98356
89,Holly Bailey,40,19,104870
90,Stephen Moore,26,39,94343
91,Steven Gray,59,19,132841
92,Jeffrey Campbell,50,16,67885
93,Linda Brooks,32,8,111136
94,Emily Camacho,43,2,105492
95,Melissa West,44,7,121506
96,Charles Santos,45,6,83286
97,Cynthia Moreno,22,32,136752
98,Terry Harper,58,7,143005
99,Martin Lee,38,25,84803
100,James Sharp,31,20,88743
